"","country","year","income","lifeExp","region","pop","pop2"
"216","Afghanistan",2015,1750,57.9,"Asia",33700000,8.33300839532259
"435","Albania",2015,11000,77.6,"Europe",2920000,5.88709417424447
"654","Algeria",2015,13700,77.3,"Africa",39900000,8.50188688186009
"873","Andorra",2015,46600,82.5,"Europe",78000,2.26446410567173
"1092","Angola",2015,6230,64,"Africa",27900000,8.14413724679159
"1311","Antigua and Barbuda",2015,20100,77.2,"Americas",99900,2.51192496463664
"1530","Argentina",2015,19100,76.5,"Americas",43400000,8.58596999907063
"1749","Armenia",2015,8180,75.4,"Asia",2920000,5.88709417424447
"1968","Australia",2015,43800,82.6,"Oceania",23800000,7.9851961386417
"2187","Austria",2015,44100,81.4,"Europe",8680000,6.97653208663653
"2406","Azerbaijan",2015,16700,71.8,"Asia",9620000,7.07935482264189
"2625","Bahamas",2015,21700,73.6,"Americas",387000,3.86617997201192
"2844","Bahrain",2015,44500,76.8,"Asia",1370000,5.13032129780431
"3063","Bangladesh",2015,3130,72.4,"Asia",161000000,9.89691492294874
"3282","Barbados",2015,15400,76.6,"Americas",284000,3.55672951714334
"3501","Belarus",2015,17200,73.3,"Europe",9490000,7.06574917058611
"3720","Belgium",2015,41700,80.9,"Europe",11300000,7.24031328368257
"3939","Belize",2015,8060,71.9,"Americas",359000,3.79107766747042
"4158","Benin",2015,1990,63.9,"Africa",10600000,7.17636455908229
"4377","Bhutan",2015,7740,73.8,"Asia",787000,4.57598352739954
"4596","Bolivia",2015,6530,73,NA,10700000,7.18575429943213
"4815","Bosnia and Herzegovina",2015,10900,77.4,"Europe",3540000,6.07963728510996
"5034","Botswana",2015,15400,64.6,"Africa",2210000,5.60850307349394
"5253","Brazil",2015,14700,75.2,"Americas",206000000,10.1433867267539
"5472","Brunei",2015,74600,76.9,NA,418000,3.94323671150689
"5691","Bulgaria",2015,17000,75,"Europe",7180000,6.78680994102441
"5910","Burkina Faso",2015,1550,60.3,"Africa",18100000,7.71142249623605
"6129","Burundi",2015,749,60,"Africa",10200000,7.1378982782545
"6348","Cambodia",2015,3290,68.3,"Asia",15500000,7.55635058188948
"6567","Cameroon",2015,2990,59.7,"Africa",22800000,7.94227109392467
"6786","Canada",2015,43000,81.7,"Americas",35900000,8.39624785345851
"7005","Cape Verde",2015,5920,73.4,NA,533000,4.18627670314798
"7224","Central African Republic",2015,626,49.7,"Africa",4550000,6.33063779092713
"7443","Chad",2015,2050,59.2,"Africa",14000000,7.45456788757953
"7662","Chile",2015,22500,80.1,"Americas",17800000,7.69470901526231
"7881","China",2015,13600,76.3,"Asia",1400000000,12.0597380735676
"8100","Colombia",2015,13000,78,"Americas",48200000,8.69086957902083
"8319","Comoros",2015,1410,67.3,"Africa",777000,4.56319562934979
"8538","Congo, Dem. Rep.",2015,750,60.9,"Africa",76200000,9.14887202065687
"8757","Congo, Rep.",2015,5540,62.6,NA,5000000,6.42494847039838
"8976","Costa Rica",2015,14900,80.9,"Americas",4810000,6.38620764208194
"9195","Cote d'Ivoire",2015,3250,59.2,"Africa",23100000,7.95534317549202
"9414","Croatia",2015,20600,77.3,"Europe",4240000,6.26007382720814
"9633","Cuba",2015,20000,78.9,"Americas",11500000,7.25785759333348
"9852","Cyprus",2015,30400,80.5,"Asia",1160000,4.96393056308255
"10071","Czech Republic",2015,30400,78.9,"Europe",10600000,7.17636455908229
"10290","Denmark",2015,45500,80.7,"Europe",5690000,6.55422080610251
"10509","Djibouti",2015,3140,66.1,"Africa",927000,4.73970884454799
"10728","Dominica",2015,10100,71.7,"Americas",73200,2.2009506999494
"10947","Dominican Republic",2015,13400,75.5,"Americas",10500000,7.16688581512775
"11166","Ecuador",2015,10800,77.9,"Americas",16100000,7.59432982995469
"11385","Egypt",2015,10100,71.9,"Africa",93800000,9.35667541397645
"11604","El Salvador",2015,7850,75,"Americas",6310000,6.6576462345174
"11823","Equatorial Guinea",2015,27200,65.2,"Africa",1180000,4.98102499644185
"12042","Eritrea",2015,1240,63.4,"Africa",4850000,6.39448926291367
"12261","Estonia",2015,27300,77.2,"Europe",1320000,5.09314229456255
"12480","Ethiopia",2015,1530,65.2,"Africa",99900000,9.41968024361878
